Record,New/Recap,BanderID,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Day,Month,Year,OrdDay,Time,Wing,Tail,Fat Score,Mass,Age,How Aged,Eye,Skull,Field Sex,PCRsex,Field Morph,PCRMorph,P4Mass,P4Mass,P4Length,Banded_Location,Images Yes/No,Blood Yes/No,P4 Yes/No,Feather Data,FGenType,Fgen,Tail,Latitude,Longitude,County,State,Comments
134,N,SW,2831-20199,WTSP,W110,WHT/A,YEL/B-W,14-Nov-21,14,11,2021,318,915,72,73,3,26.5,AHY,X,medium,6,U,M,X,,0.0091,9.1,61.7,EASTERN,Y,Y,Y,X,1,B,X,36.51812,-87.31848,Montgomery,TN,
135,N,SW,2771-10002,WTSP,W111,DKB/A,G-Y/DKB,20-Nov-21,20,11,2021,324,1130,75,74,1,24.7,HY,X,dull,X,U,F,X,WS,0.0084,8.4,62.9,EASTERN,Y,Y,Y,X,0,J,X,36.51812,-87.31848,Montgomery,TN,
136,N,SW,2771-10003,WTSP,W112,DKB/A,G-Y/ORG,20-Nov-21,20,11,2021,324,1130,73,75,1,23.6,HY,X,medium,5,U,M,X,WS,0.0099,9.9,64.5,EASTERN,Y,Y,Y,X,0,J,X,36.51812,-87.31848,Montgomery,TN,
137,N,SW,2771-10004,WTSP,W113,DKB/A,G-Y/WHT,20-Nov-21,20,11,2021,324,1215,75,75,0,27.8,HY,X,dull,6,U,F,X,WS,0.0096,9.6,63.8,EASTERN,Y,Y,Y,X,0,J,X,36.51812,-87.31848,Montgomery,TN,
138,N,SW,2771-10005,WTSP,W114,DKB/A,G-Y/GRN,20-Nov-21,20,11,2021,324,1215,73,73,4,23.8,HY,X,medium,5,U,M,X,TS,0.009,9,63.3,EASTERN,Y,Y,Y,X,0,J,X,36.51812,-87.31848,Montgomery,TN,
139,R,SW,2831-20160,WTSP,W082,ORG/A,R-W/RED,20-Nov-21,20,11,2021,324,1215,70,72,0,23.4,AHY,X,medium,X,U,F,X,WS,0.0081,8.1,59.1,EASTERN,Y,N,Y,X,5,B,X,36.51812,-87.31848,Montgomery,TN,
140,R,SW,2831-20180,WTSP,W102,YEL/A,YEL/R-W,20-Nov-21,20,11,2021,324,1215,69,67,2,23.7,AHY,X,rich,X,U,F,X,TS,0.0075,7.5,57.3,EASTERN,Y,N,Y,X,5,B,X,36.51812,-87.31848,Montgomery,TN,
141,R,SW,2831-20191,WTSP,W106,RED/A,YEL/B-W,20-Nov-21,20,11,2021,324,1215,,X,X,X,X,X,X,X,U,NA,X,NA,NA,NA,,EASTERN,Y,N,N,X,NA,NA,X,36.51812,-87.31848,Montgomery,TN,from 06Nov21; p4 1/2 grown
142,N,NS,2771-10008,WTSP,W115,DKB/A,G-Y/GRN,24-Nov-21,24,11,2021,328,940,68,69,1,25,HY,X,dull,X,U,F,X,TS,0.0084,8.4,58.7,EMERALD,Y,Y,Y,X,0,J,X,36.53908,-87.36114,Montgomery,TN,
143,N,SW,2771-10012,WTSP,W116,RED/A,G-Y/RED,26-Nov-21,26,11,2021,330,1245,72,74,2,25.9,HY,X,medium,X,U,M,X,TS,0.009,9,62.4,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
144,N,SW,2771-10013,WTSP,W117,YEL/A,G-Y/RED,26-Nov-21,26,11,2021,330,1330,74,70,2,27.8,AHY,X,medium,6,U,M,X,TS,0.0097,9.7,62.7,EASTERN,Y,Y,Y,X,1,B,B,36.51812,-87.31848,Montgomery,TN,
145,N,SW,2771-10014,WTSP,W118,ORG/A,G-Y/RED,26-Nov-21,26,11,2021,330,1500,72,74,2,23.6,AHY,X,medium,6,U,F,X,WS,0.0087,8.7,62.3,EASTERN,Y,Y,Y,X,1,B,B?,36.51812,-87.31848,Montgomery,TN,
146,N,SW,2771-10015,WTSP,W119,DKB/A,G-Y/RED,27-Nov-21,27,11,2021,331,915,70,72,1,23.6,HY,X,dull,5,U,F,X,WS,0.0083,8.3,59.9,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
147,N,SW,2771-10016,WTSP,W120,GRN/A,G-Y/RED,28-Nov-21,28,11,2021,332,1130,70,70,1,23,HY,X,dull,X,U,F,X,TS,0.0075,7.5,58.7,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
148,N,SW,2771-10017,WTSP,W121,WHT/A,G-Y/RED,28-Nov-21,28,11,2021,332,1130,71,X,1,25.4,HY,X,dull,X,U,F,X,TS,0.0074,7.4,60.6,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,tail mostly lost
149,N,SW,2771-10018,WTSP,W122,B-R/A,G-Y/RED,28-Nov-21,28,11,2021,332,1130,73,74,2,25.7,HY,X,dull,X,U,M,X,WS,0.0086,8.6,61.6,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
150,N,SW,2771-10019,WTSP,W123,RED/A,ORG/G-Y,28-Nov-21,28,11,2021,332,1130,72,71,2,25.8,HY,X,dull,X,U,M,X,TS,0.0091,9.1,63.3,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
151,N,SW,2771-10020,WTSP,W124,YEL/A,ORG/G-Y,28-Nov-21,28,11,2021,332,1130,73,74,0,26.4,HY,X,medium,X,U,M,X,WS,0.01,10,61.8,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
152,N,SW,2771-10021,WTSP,W125,ORG/A,ORG/G-Y,3-Dec-21,3,12,2021,337,935,68,68,0,24.2,HY,X,dull,X,U,F,X,WS,0.0076,7.6,57.3,EMERALD,Y,N,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,"blood sample inadquate, see recapture"
153,R,SW,2831-20090,WTSP,W030,YEL/R-W,RED/A,3-Dec-21,3,12,2021,337,935,74,75,0,25.3,AHY,X,rich,X,U,M,X,WS,0.0103,10.3,63.1,EMERALD,Y,N,Y,X,4,B,B,36.53908,-87.36114,Montgomery,TN,
154,N,SW,2771-10022,WTSP,W126,DKB/A,ORG/G-Y,12-Dec-21,12,12,2021,346,1415,75,74,2,27.6,HY,X,medium,X,U,M,WS,WS,0.01,10,65.8,EASTERN,Y,Y,Y,X,0,J,B,36.51812,-87.31848,Montgomery,TN,
155,N,SW,2771-10023,WTSP,W127,GRN/A,ORG/G-Y,12-Dec-21,12,12,2021,346,1445,71,73,3,26.7,HY,X,dull,X,U,F,X,WS,0.0076,7.6,60.5,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
156,N,SW,2771-10024,WTSP,W128,WHT/A,ORG/G-Y,12-Dec-21,12,12,2021,346,1445,73,72,2,27.1,HY,X,dull,X,U,M,X,WS,0.0091,9.1,61.7,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
157,R,SW,2771-10021,WTSP,W125,ORG/A,ORG/G-Y,14-Dec-21,14,12,2021,348,835,,X,X,X,HY,X,medium,X,U,F,X,NA,,0,,EMERALD,N,Y,Y,X,NA,NA,X,36.53908,-87.36114,Montgomery,TN,
158,N,JA,2771-10025,WTSP,W129,DKB/A,GRN/G-Y,14-Dec-21,14,12,2021,348,835,71,71,0,24.8,HY,X,dull,X,U,F,X,WS,0.0085,8.5,62.2,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
159,N,JA,2771-10027,WTSP,W130,RED/A,GRN/G-Y,14-Dec-21,14,12,2021,348,1130,76,78,1,29.7,HY,X,dull,X,U,M,X,WS,0.0116,11.6,66.1,EMERALD,Y,Y,Y,X,0,J,B,36.53908,-87.36114,Montgomery,TN,
160,N,JA,2771-10028,WTSP,W131,YEL/A,GRN/G-Y,14-Dec-21,14,12,2021,348,1130,74,77,T,27.5,HY,X,dull,X,U,M,X,WS,0.0098,9.8,65.7,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
161,N,SW,2771-10029,WTSP,W132,GRN/A,GRN/G-Y,21-Dec-21,21,12,2021,355,910,73,75,0,25.2,HY,X,dull,X,U,M,X,TS,0.0091,9.1,63.2,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
162,N,SW,2771-10030,WTSP,W133,WHT/A,GRN/G-Y,21-Dec-21,21,12,2021,355,910,72,74,0,27.2,AHY,X,dull,X,U,M,X,NA,0.0101,10.1,63,EMERALD,Y,Y,Y,X,1,B,B,36.53908,-87.36114,Montgomery,TN,
163,N,NS,2771-10034,WTSP,W134,ORG/A,GRN/G-Y,21-Dec-21,21,12,2021,355,1200,73,76,4,28.6,HY,X,rich,X,U,M,X,WS,0.0095,9.5,64.1,EMERALD,Y,Y,Y,X,0,J,B,36.53908,-87.36114,Montgomery,TN,
164,N,JA,2771-10035,WTSP,W135,Y-G/A,RED/DKB,21-Feb-22,21,2,2022,52,930,68,67,4,26.3,SY,X,medium,X,U,F,X,TS,0.0079,7.9,57.5,EMERALD,Y,Y,Y,X,0,J,x,36.53908,-87.36114,Montgomery,TN,
165,N,SW,2771-10040,WTSP,W136,Y-G/A,RED/RED,10-Mar-22,10,3,2022,69,820,70,70,3,25.8,SY,X,dull,X,U,F,X,TS,0.0074,7.4,60.1,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
166,N,SW,2771-10041,WTSP,W137,Y-G/A,RED/YEL,10-Mar-22,10,3,2022,69,840,68,73,1,24.2,SY,X,dull,X,U,F,X,TS,0.0077,7.7,58.7,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
167,N,SW,2771-10042,WTSP,W138,Y-G/A,RED/WHT,10-Mar-22,10,3,2022,69,840,68,71,3,24.5,SY,X,dull,X,U,F,X,WS,0.0077,7.7,59.6,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
168,N,SW,2771-10043,WTSP,W139,Y-G/A,RED/ORG,10-Mar-22,10,3,2022,69,840,72,74,1,25.4,ASY,X,medium,X,U,M,X,WS,0.0095,9.5,63.4,EASTERN,Y,Y,Y,X,1,B,B,36.51812,-87.31848,Montgomery,TN,
169,N,SW,2771-10044,WTSP,W140,Y-G/A,RED/Y-G,10-Mar-22,10,3,2022,69,840,72,74,3,28.6,SY,X,dull,X,U,M,X,TS,0.0101,10.1,63.2,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
170,N,SW,2771-10045,WTSP,W141,Y-G/YEL,RED/A,10-Mar-22,10,3,2022,69,840,72,73,2,25.8,SY,X,dull,X,U,M,X,TS,0.0096,9.6,61.9,EASTERN,Y,Y,Y,X,0,J,?,36.51812,-87.31848,Montgomery,TN,
171,N,SW,2771-10046,WTSP,W142,Y-G/YEL,YEL/A,10-Mar-22,10,3,2022,69,1015,72,76,3,25.8,SY,X,dull,X,U,F,X,WS,0.0084,8.4,61.9,EASTERN,Y,Y,Y,X,0,J,B,36.51812,-87.31848,Montgomery,TN,
172,N,SW,2771-10047,WTSP,W143,G-Y/YEL,ORG/A,10-Mar-22,10,3,2022,69,1015,70,74,1,24.2,SY,X,dull,X,U,F,X,WS,0.0082,8.2,60.9,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,note incorrect band application
173,N,SW,2771-10048,WTSP,W144,Y-G/YEL,DKB/A,10-Mar-22,10,3,2022,69,1015,70,75,3,26.3,SY,X,dull,X,U,F,X,TS,0.0077,7.7,60.2,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
174,N,SW,2771-10049,WTSP,W145,Y-G/YEL,GRN/A,10-Mar-22,10,3,2022,69,1015,73,74,4,28.1,SY,X,dull,X,U,M,X,WS,0.0094,9.4,63,EASTERN,Y,Y,Y,X,0,J,?,36.51812,-87.31848,Montgomery,TN,
175,N,SW,2771-10050,WTSP,W146,Y-G/YEL,WHT/A,10-Mar-22,10,3,2022,69,1015,72,74,4,25.9,SY,X,dull,X,U,F,X,TS,0.0079,7.9,61.2,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,
176,N,SW,2771-10051,WTSP,W147,Y-G/RED,RED/A,10-Mar-22,10,3,2022,69,1120,71,74,2,25.1,SY,X,medium,X,U,M,X,,0.0091,9.1,61.1,EASTERN,Y,Y,Y,X,0,J,J,36.51812,-87.31848,Montgomery,TN,"did not have a R p4, took L p4"
177,N,JA,2771-10052,WTSP,W148,Y-G/RED,YEL/A,11-Mar-22,11,3,2022,70,920,69,70,T,23.2,SY,X,medium,X,U,F,TS,,0.0083,8.3,60,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
178,N,JA,2771-10055,WTSP,W149,Y-G/RED,ORG/A,19-Mar-22,19,3,2022,78,850,66,65,2,23.2,SY,X,dull,X,F,F,X,,0.0079,7.9,59.3,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
179,N,JA,2771-10058,WTSP,W150,Y-G/RED,DKB/A,19-Mar-22,19,3,2022,78,1140,69,70,2,23.7,SY,X,medium,x,u,F,X,,0.0078,7.8,57.6,EMERALD,Y,Y,Y,X,0,J,J,36.53908,-87.36114,Montgomery,TN,
180,R,SW,2771-10046,WTSP,W142,Y-G/YEL,YEL/A,27-Mar-22,27,3,2022,86,810,,x,1,25.5,SY,,dull,x,u,F,,WS,NA,NA,,EASTERN,N,N,N,,NA,NA,B,36.51812,-87.31848,Montgomery,TN,Rp4 2/3 grown; no head molt
181,R,SW,2831-20189,WTSP,W104,DKB/A,YEL/R-W,27-Mar-22,27,3,2022,86,810,71,70,2,26.9,ASY,p,rich,x,U,F,x,TS,0.0097,9.7,58.5,EASTERN,Y,N,Y,,2,B,J,36.51812,-87.31848,Montgomery,TN,light head molt
182,N,SW,2771-10059,WTSP,W151,Y-G/RED,WHT/A,27-Mar-22,27,3,2022,86,830,75,76,2,26.6,ASY,p,rich,x,u,,WS,WS,0.0103,10.3,64.5,EASTERN,Y,Y,Y,,1,B,B,36.51812,-87.31848,Montgomery,TN,heavy head molt
183,N,SW,2771-10060,WTSP,W152,Y-G/RED,GRN/A,27-Mar-22,27,3,2022,86,830,70,73,3,26.3,SY,p,medium,x,u,,TS,TS,0.0089,8.9,60.1,EASTERN,Y,Y,Y,,0,J,J,36.51812,-87.31848,Montgomery,TN,moderate head molt
184,N,SW,2771-10061,WTSP,W153,Y-G/GRN,RED/A,27-Mar-22,27,3,2022,86,830,71,72,2,25.4,SY,p,dull,x,u,,,WS,0.0089,8.9,60.5,EASTERN,Y,Y,Y,,0,J,B,36.51812,-87.31848,Montgomery,TN,moderate head molt
185,N,SW,2771-10062,WTSP,W154,Y-G/GRN,YEL/A,27-Mar-22,27,3,2022,86,915,70,71,1,23.5,ASY,p,rich,x,u,,TS,WS,0.009,9,59.6,EASTERN,Y,Y,Y,,1,B,B,36.51812,-87.31848,Montgomery,TN,light head molt
186,N,SW,2771-10063,WTSP,W155,Y-G/GRN,ORG/A,27-Mar-22,27,3,2022,86,915,68,69,0,24.9,SY,p,medium,x,u,,TS,TS,0.0087,8.7,58.8,EASTERN,Y,N,Y,,0,J,J,36.51812,-87.31848,Montgomery,TN,moderate head molt
187,R,SW,2831-20191,WTSP,W106,RED/A,YEL/B-W,27-Mar-22,27,3,2022,86,950,70,69,2,25,SY,p,dull,x,u,F,TS?,WS,0.0089,8.9,60.4,EASTERN,Y,N,Y,,2,B,J,36.51812,-87.31848,Montgomery,TN,light head molt
188,R,SW,2771-10012,WTSP,W116,RED/A,G-Y/RED,3-Apr-22,3,4,2022,93,730,71,71,0,26.1,SY,p,rich,x,u,M,TS?,TS,0.0104,10.4,61,EASTERN,Y,N,Y,,2,B,X,36.51812,-87.31848,Montgomery,TN,heavy head molt
189,R,SW,2831-20109,WTSP,W041,YEL/B-W,WHT/A,3-Apr-22,3,4,2022,93,800,72,73,1,27,ASY,p,rich,x,u,F,,WS,0.0097,9.7,62.7,EASTERN,Y,N,Y,,5,B,X,36.51812,-87.31848,Montgomery,TN,R leg injury; moderate head molt; replaced YEL band (had lost)
190,R,SW,2771-10019,WTSP,W123,RED/A,ORG/G-Y,10-Apr-22,10,4,2022,100,915,72,72,0,27,ASY,p,medium,x,u,M,,TS,0.0106,10.6,63.5,EASTERN,Y,N,Y,,2,B,B,36.51812,-87.31848,Montgomery,TN,light head molt
191,N,SW,2771-10065,WTSP,W156,Y-G/GRN,DKB/A,10-Apr-22,10,4,2022,100,915,67,70,0,23.8,SY,p,medium,x,F,,,TS,0.0082,8.2,57.8,EASTERN,Y,Y,Y,,0,J,J,36.51812,-87.31848,Montgomery,TN,moderate head molt
192,R,SW,2831-20197,WTSP,W109,GRN/A,YEL/B-W,10-Apr-22,10,4,2022,100,950,72,75,2,28.1,SY,p,rich,x,u,M,,NA,0.0102,10.2,62.5,EASTERN,Y,N,Y,,2,B,B,36.51812,-87.31848,Montgomery,TN,moderate head molt
193,R,SW,2771-10048,WTSP,W144,Y-G/YEL,DKB/A,10-Apr-22,10,4,2022,100,950,71,73,1,25.9,SY,p,dull,x,u,F,,TS,,,,EASTERN,Y,N,N,,NA,NA,J,36.51812,-87.31848,Montgomery,TN,Rp4 new and fully grown; heavy head molt
194,R,SW,2831-20189,WTSP,W104,DKB/A,YEL/R-W,10-Apr-22,10,4,2022,100,1030,71,70,0,27,SY,p,medium,x,u,F,,TS,,,,EASTERN,N,N,N,,NA,NA,X,36.51812,-87.31848,Montgomery,TN,Rp4 1/2 grown; moderate head molt
195,R,SW,2771-10050,WTSP,W146,Y-G/YEL,WHT/A,10-Apr-22,10,4,2022,100,1030,69,74,0,25.2,SY,p,dull,x,u,F,,TS,,,,EASTERN,N,N,N,,NA,NA,X,36.51812,-87.31848,Montgomery,TN,Rp4 new and fully grown; moderate head molt
196,N,SW,2771-10066,WTSP,W157,Y-G/GRN,WHT/A,10-Apr-22,10,4,2022,100,1030,68,65,0,25.1,SY,p,medium,x,u,,,TS,0.008,8,58.6,EASTERN,Y,Y,Y,,0,J,X,36.51812,-87.31848,Montgomery,TN,moderate head molt
197,N,JA,2771-10068,WTSP,W158,Y-G/GRN,GRN/A,14-Apr-22,14,4,2022,104,1240,73,72,3,29.2,ASY,p,rich,x,u,,WS,WS,0.0104,10.4,63.6,EMERALD,Y,Y,Y,,1,B,B,36.53908,-87.36114,Montgomery,TN,
198,R,JA,2771-10008,WTSP,W115,DKB/A,G-Y/GRN,14-Apr-22,14,4,2022,104,1350,68,66,1,27,SY,p,medium,x,u,F,,TS,0.009,9,58.3,EMERALD,Y,N,Y,,2,B,J,36.53908,-87.36114,Montgomery,TN,light head molt
